iter	RMSE
339	0.5013636766
340	0.5013493219
341	0.501346079
342	0.501326081
343	0.5013111414
344	0.5012976068
345	0.5012705364
346	0.5012450431
347	0.5012223596
348	0.5012001076
349	0.5011921927
350	0.5011753676
351	0.501166198
352	0.5011586934
353	0.5011272033
354	0.5011008375
355	0.5010951489
356	0.5010882705
357	0.5010668995
358	0.5010529472
359	0.5010290869
360	0.5010122996
361	0.5009920503
362	0.500976019
363	0.5009626917
364	0.5009288092
365	0.5009068471
366	0.5008960929
367	0.5008855549
368	0.5008495897
369	0.5008440065
370	0.5008255466
371	0.5008124317
372	0.5008099861
373	0.5007974118
374	0.500773864
375	0.5007467004
376	0.5007395142
377	0.5007292542
378	0.5007219163
379	0.5007056599
380	0.5006905286
381	0.5006598101
382	0.5006445476
383	0.5006288516
384	0.5006061835
385	0.5005902914
386	0.5005770404
387	0.5005686609
388	0.5005555609
389	0.5005463365
390	0.5005310705
391	0.5005129889
392	0.5004878901
393	0.5004524811
394	0.5004360427
395	0.5004297184
396	0.5004053302
397	0.5003967962
398	0.5003876339
399	0.5003854029
400	0.5003803993
401	0.5003752223
402	0.5003451993
403	0.5003313786
404	0.5003091953
405	0.5002963485
406	0.5002927305
407	0.5002662124
408	0.5002599076
409	0.5002438529
410	0.5002264976
411	0.5002108751
412	0.5001885348
413	0.500174038
414	0.5001628129
415	0.5001607759
416	0.500130545
417	0.5001274893
418	0.5001011141
419	0.5000943521
420	0.5000888688
421	0.500061928
422	0.5000373268
423	0.5000184036
424	0.5000115755
425	0.4999869068
426	0.4999824411
427	0.4999776069
428	0.4999653586
429	0.4999525463
430	0.4999480153
431	0.4999369803
432	0.4999258583
433	0.4999218258
434	0.499896372
435	0.4998903011
436	0.4998724348
437	0.4998540909
438	0.4998352041
439	0.4998291325
440	0.4998012669
441	0.4997736383
442	0.4997518857
443	0.4997405862
444	0.4997179646
445	0.4997139954
446	0.4996971856
447	0.4996764709
448	0.4996691175
449	0.49966838
450	0.4996503105
451	0.4996362536
452	0.4996154496
453	0.4996024981
454	0.4995925403
455	0.4995625136
456	0.4995571329
457	0.4995450912
458	0.4995290135
459	0.4995135211
460	0.4994865493
461	0.4994678874
462	0.4994568418
463	0.499439177
464	0.4994121144
465	0.4993980725
466	0.4993849201
467	0.4993715069
468	0.4993640839
469	0.4993546856
470	0.4993406421
471	0.499317959
472	0.4992874599
473	0.4992752163
474	0.4992682261
475	0.4992505329
476	0.4992358352
477	0.4992306898
478	0.4992240897
479	0.4992145585
480	0.4991988392
481	0.4991756503
482	0.4991522865
483	0.4991402785
484	0.4991198229
485	0.4991065111
486	0.4990860976
487	0.4990693536
488	0.4990528913
489	0.4990361679
490	0.4990122546
491	0.4989936835
492	0.4989796299
493	0.4989624912
494	0.4989416591
495	0.49893688
496	0.4989161988
497	0.4989030554
498	0.4988869788
499	0.498862841
500	0.4988460678
501	0.4988446989
502	0.4988418309
503	0.4988306193
504	0.4988206461
505	0.4988164525
506	0.498797483
507	0.498795071
508	0.4987676692
509	0.4987479155
510	0.4987190333
511	0.4987140347
512	0.4987088622
513	0.4986980606
514	0.4986894322
515	0.4986861286
516	0.4986705013
517	0.4986563299
518	0.4986462227
519	0.4986362022
520	0.498628464
521	0.4986219211
522	0.4985991401
523	0.4985790101
524	0.4985615751
525	0.4985416394
526	0.4985157891
527	0.4985123321
528	0.49849259
529	0.4984717165
530	0.4984543212
531	0.4984474934
532	0.4984444492
533	0.4984301626
534	0.4984108087
535	0.4983981739
536	0.4983884964
537	0.4983695324
538	0.4983587887
539	0.4983421507
540	0.4983320371
541	0.4983175298
542	0.4983118747
543	0.4982989111
544	0.4982921682
545	0.4982891447
546	0.4982692633
547	0.4982664572
548	0.498257408
549	0.4982350018
550	0.4982050239
551	0.4981991499
552	0.4981828982
553	0.4981711932
554	0.4981702794
555	0.4981545054
556	0.4981436918
557	0.4981229777
558	0.4981036337
559	0.4980890762
560	0.4980738001
561	0.4980490572
562	0.4980314077
563	0.4980036157
564	0.4979990017
565	0.4979981746
566	0.4979908835
567	0.4979867264
568	0.497975648
569	0.4979508131
570	0.4979358811
571	0.4979269347
572	0.4979204915
573	0.4979131993
574	0.4979006824
575	0.4978831148
576	0.4978739716
577	0.4978637615
578	0.4978607789
579	0.4978557499
580	0.4978435365
581	0.4978347191
582	0.4978240292
583	0.49781458
584	0.4978038243
585	0.4977840977
586	0.4977734067
587	0.4977703583
588	0.4977573371
589	0.4977491496
590	0.4977350826
591	0.4977181189
592	0.4977086024
593	0.4977002618
594	0.4976930969
595	0.4976839067
596	0.4976682915
597	0.4976457935
598	0.4976357093
599	0.497629001
600	0.4976168473
601	0.4975920381
602	0.497571802
603	0.4975686653
604	0.4975625442
605	0.4975524148
606	0.4975515216
607	0.4975469034
608	0.4975348349
609	0.497512919
610	0.4975067319
611	0.4974979957
612	0.4974914815
613	0.4974810239
614	0.4974647269
615	0.4974306715
616	0.4974191885
617	0.4974172928
618	0.4973956768
619	0.49737552
620	0.497364733
621	0.4973562122
622	0.4973452941
623	0.497338037
624	0.4973331553
625	0.4973220405
626	0.4973071986
627	0.4972973255
628	0.4972909395
629	0.4972775352
630	0.4972614713
631	0.4972539732
632	0.4972508345
633	0.4972460173
634	0.497223413
635	0.4972027696
636	0.4971881203
637	0.4971783103
638	0.4971745388
639	0.497166538
640	0.4971558991
641	0.4971483994
642	0.4971441045
643	0.4971273604
644	0.4971215609
645	0.4971159794
646	0.4971044237
647	0.4970960292
648	0.4970890956
649	0.4970789783
650	0.4970564318
651	0.4970471207
652	0.4970294357
653	0.4970259248
654	0.4970173764
655	0.4970078247
656	0.4970012606
657	0.4969956777
658	0.4969886117
659	0.4969854713
660	0.4969754828
661	0.4969554616
662	0.4969383186
663	0.496924294
664	0.4969104
665	0.4968999955
666	0.4968973562
667	0.4968935608
668	0.4968868424
669	0.4968790551
670	0.4968638727
671	0.4968601643
672	0.4968468793
673	0.4968268311
674	0.4968140033
675	0.4968129997
676	0.496789983
677	0.4967822814
678	0.4967714816
679	0.4967652416
680	0.4967636488
681	0.4967600706
682	0.4967448191
683	0.4967396697
684	0.4967346512
685	0.4967281707
686	0.4967154277
687	0.4966921009
688	0.4966697987
689	0.4966605677
690	0.4966434363
691	0.4966268064
692	0.4966061818
693	0.4965974952
694	0.4965860147
695	0.4965781136
696	0.4965703214
697	0.4965615469
698	0.4965585783
699	0.4965401774
700	0.496529154
701	0.4965219505
702	0.4965174755
703	0.4965135026
704	0.4964941176
705	0.4964809538
706	0.4964616767
707	0.4964463069
708	0.4964326178
709	0.4964214829
710	0.4964140157
711	0.4963885568
712	0.4963857401
713	0.4963737307
714	0.4963604326
715	0.4963493616
716	0.4963476146
717	0.4963331148
718	0.496308831
719	0.4962931944
720	0.4962815977
721	0.496266681
722	0.4962578356
723	0.4962356449
724	0.4962242216
725	0.4962057428
726	0.4961994301
727	0.4961802732
728	0.4961778485
729	0.4961511104
730	0.4961376972
731	0.4961281504
732	0.4961262716
733	0.496104796
734	0.4960930856
735	0.4960862035
736	0.4960764372
737	0.496070538
738	0.496060116
739	0.4960420243
740	0.4960404511
741	0.4960308369
742	0.4960254398
743	0.4960186441
744	0.4960091168
745	0.4960078057
746	0.4960032168
747	0.496002015
748	0.4959936893
749	0.4959767316
750	0.4959666791
751	0.495960123
752	0.4959557304
753	0.4959497205
754	0.4959362362
755	0.495930838
756	0.4959262266
757	0.4959093977
758	0.4958883499
759	0.4958771153
760	0.495871935
761	0.4958676509
762	0.4958595634
763	0.4958465794
764	0.4958403715
765	0.4958315622
766	0.4958266438
767	0.4958141617
768	0.4958082376
769	0.495800958
770	0.4957966732
771	0.4957831192
772	0.4957761234
773	0.4957665915
774	0.4957578028
775	0.4957520747
776	0.4957435262
777	0.4957290087
778	0.4957210939
779	0.4956989667
780	0.4956975236
781	0.4956817146
782	0.4956742364
783	0.4956601542
784	0.4956528724
785	0.4956477554
786	0.4956391614
787	0.4956319012
788	0.4956255812
789	0.4956076705
790	0.4956038871
791	0.4956018314
792	0.495592318
793	0.4955907215
794	0.4955849259
795	0.4955839855
796	0.4955760246
797	0.4955671668
798	0.49556323
799	0.4955412926
800	0.4955333091
801	0.4955153076
802	0.4954976773
803	0.4954810308
804	0.495473112
805	0.4954607523
806	0.4954501205
807	0.495445614
808	0.4954381321
809	0.4954284187
810	0.4954227962
811	0.4954182676
812	0.4954008526
813	0.4953947266
814	0.4953887755
815	0.4953855593
816	0.4953787548
817	0.4953713595
818	0.4953657583
819	0.495358866
820	0.4953566998
821	0.4953485384
822	0.4953409894
823	0.4953245127
824	0.4953087794
825	0.4953033306
826	0.4952984507
827	0.4952877279
828	0.4952842922
829	0.4952795434
830	0.4952625175
831	0.4952575497
832	0.4952542013
833	0.4952422519
834	0.495237065
835	0.4952269756
836	0.495225356
837	0.4952234082
838	0.4952206286
839	0.4952060958
840	0.4951937513
841	0.4951900961
842	0.4951736799
843	0.495156125
844	0.4951463842
845	0.4951414809
846	0.4951313895
847	0.4951186491
848	0.4951178829
849	0.4951085354
850	0.4951050547
851	0.4950895771
852	0.495083688
853	0.4950812361
854	0.4950649258
855	0.495058927
856	0.4950479582
857	0.4950439953
858	0.4950175026
859	0.4950109777
860	0.4950050001
861	0.4949982342
862	0.4949908551
863	0.4949831912
864	0.4949534543
865	0.4949410159
866	0.4949192699
867	0.4949142986
868	0.4949141015
869	0.494905013
870	0.4948982238
871	0.4948920039
872	0.4948809
873	0.4948734535
874	0.4948727088
875	0.4948556689
876	0.4948522521
877	0.4948464259
878	0.4948406216
879	0.4948247415
880	0.4948192216
881	0.4947982808
882	0.4947968788
883	0.4947900225
884	0.4947870214
885	0.4947840203
886	0.4947752798
887	0.4947590471
888	0.4947349928
889	0.4947254408
890	0.4947237758
891	0.4947160859
892	0.4947103458
893	0.4947058763
894	0.4947024365
895	0.4946966962
896	0.4946842952
897	0.4946769991
898	0.4946681472
899	0.4946538392
900	0.4946460605
901	0.4946363315
902	0.4946295825
903	0.4946236222
904	0.4946143749
905	0.494608546
906	0.4946051713
907	0.4945978082
908	0.4945954196
909	0.4945923516
910	0.4945730886
911	0.4945645854
912	0.4945539563
913	0.4945406751
914	0.4945342316
915	0.4945295413
916	0.4945112622
917	0.4944942317
918	0.4944821325
919	0.4944693316
920	0.4944543164
921	0.4944426327
922	0.4944403748
923	0.4944313652
924	0.4944241311
925	0.494420799
926	0.494406155
927	0.494403042
928	0.4943954128
929	0.4943851747
930	0.4943744759
931	0.4943613433
932	0.4943498767
933	0.4943374889
934	0.494332731
935	0.4943260875
936	0.4943060467
937	0.4943003895
938	0.4942900397
939	0.4942773215
940	0.4942622347
941	0.4942331561
942	0.4942246033
943	0.4942115325
944	0.4941987246
945	0.4941941189
946	0.4941907413
947	0.4941729103
948	0.4941699274
949	0.4941635887
950	0.4941425762
951	0.4941384964
952	0.4941352501
953	0.4941270027
954	0.4941118016
955	0.4941054621
956	0.4940969071
957	0.4940841181
958	0.4940815295
959	0.4940693105
960	0.4940601187
961	0.4940522648
962	0.4940366007
963	0.4940359645
964	0.4940308746
965	0.4940161532
966	0.4940103392
967	0.4939997639
968	0.493990483
969	0.4939819479
970	0.493977779
971	0.493963078
972	0.4939541474
973	0.4939478718
974	0.4939449315
975	0.4939339379
976	0.4939319849
977	0.493921035
978	0.4939125645
979	0.4939067712
980	0.493903655
981	0.4939026455
982	0.4938975104
983	0.4938836629
984	0.4938627701
985	0.4938409767
986	0.4938355336
987	0.4938305734
988	0.4938275884
989	0.4938233524
990	0.4938110612
991	0.4938022596
992	0.4937960479
993	0.4937836462
994	0.4937713101
995	0.4937707833
996	0.4937595883
997	0.4937550224
998	0.4937520809
999	0.4937325875
