iter	TotalF1:average=Macro	MultiClassOneVsAll
201	0.6693583168	0.4423102748
202	0.6700953654	0.4421487189
203	0.6702338273	0.4420023818
204	0.6703202797	0.4418540945
205	0.6705551308	0.4417037041
206	0.6706437137	0.4415174846
207	0.6706900528	0.4413813952
208	0.6707034458	0.441251424
209	0.6707581897	0.4411250853
210	0.6709075267	0.4409780599
211	0.6710339349	0.4408215897
212	0.6712213401	0.4406887505
213	0.6713470589	0.4405375571
214	0.6714192897	0.4403877403
215	0.6715628329	0.4402085566
216	0.6716274756	0.4400950278
217	0.6717809414	0.43992418
218	0.6719451084	0.4397911114
219	0.6720163392	0.4396441242
220	0.6720822226	0.4394814212
221	0.6720507986	0.4393562679
222	0.6720589215	0.4392207521
223	0.672200985	0.439040536
224	0.6722603463	0.4388427304
225	0.6724761129	0.4386456896
226	0.6726001787	0.4384559904
227	0.6725928399	0.4382760037
228	0.6727152348	0.4380976995
229	0.6727420169	0.4379258576
230	0.6727834747	0.4377593689
231	0.6728645172	0.4375976601
232	0.6728981223	0.4374604618
233	0.6728587216	0.4372948144
234	0.6730923131	0.4371552454
235	0.6732254214	0.4370046256
236	0.6732666953	0.4368608504
237	0.6734751542	0.4367322175
238	0.6738668464	0.4365924572
239	0.6737857502	0.4364570944
240	0.6738615473	0.4362982152
241	0.673971864	0.4361614375
242	0.6740129187	0.43603399
243	0.6741476319	0.4359102515
244	0.675508811	0.4357863984
245	0.6756880009	0.4356530622
246	0.675891422	0.4355284442
247	0.6759168162	0.4354076884
248	0.6759382249	0.4352784054
249	0.6760029174	0.4351591408
250	0.676122385	0.4350056149
251	0.6762186037	0.4348771731
252	0.6762346395	0.4347545054
253	0.6762988051	0.4346459857
254	0.6762431146	0.434523662
255	0.6763961666	0.4344004207
256	0.6763761323	0.4342942718
257	0.6764685061	0.4341719481
258	0.6765922159	0.4340396443
259	0.6765799337	0.4339350632
260	0.6764927313	0.4338381679
261	0.6766295135	0.4337156913
262	0.6766246724	0.4336042272
263	0.6766329762	0.4335041199
264	0.6768514686	0.433413075
265	0.6768634606	0.4333200418
266	0.6770213465	0.4332035686
267	0.6772459433	0.433069697
268	0.677461495	0.4329571241
269	0.6776693839	0.4328614524
270	0.6776873596	0.43275668
271	0.6777354118	0.4326503399
272	0.6777991284	0.4325547447
273	0.6779402779	0.4324455367
274	0.6780314454	0.4323449706
275	0.6780392136	0.432239357
276	0.6781262854	0.4321436088
277	0.6781612953	0.4320593703
278	0.6781010431	0.4319309668
279	0.678144854	0.4318495961
280	0.678237359	0.4317558746
281	0.6783463601	0.431641428
282	0.6784886607	0.4315387587
283	0.6785847802	0.4314524171
284	0.6786066374	0.431367108
285	0.678680155	0.4312644387
286	0.678834553	0.4311518275
287	0.6788399949	0.4310520644
288	0.6788782938	0.4309391473
289	0.6788865077	0.4308455022
290	0.6789780035	0.430748301
291	0.6790380373	0.4306667009
292	0.679108258	0.4305537456
293	0.6791088985	0.4304776136
294	0.6791382091	0.4304068349
295	0.6792321445	0.4303061158
296	0.6794274792	0.4301868894
297	0.6796892786	0.4300603978
298	0.6797681698	0.429972412
299	0.6799058689	0.4298813289
300	0.6802699767	0.4297843188
301	0.6802649571	0.4297099075
302	0.6803867186	0.4296329725
303	0.6805218664	0.4295546991
304	0.6807014143	0.4294622777
305	0.6808325933	0.4293781921
306	0.6808691433	0.4292863442
307	0.6808382893	0.4292129271
308	0.6809162205	0.4291319388
309	0.6809501292	0.4290481592
310	0.6809708922	0.4289574967
311	0.6809955417	0.4288686314
312	0.6811415139	0.4287779306
313	0.6812096442	0.4286880711
314	0.6812906374	0.4286110979
315	0.6814638654	0.4285221561
316	0.6814504735	0.428446024
317	0.6814713327	0.4283562792
318	0.6813795383	0.428278503
319	0.6814127621	0.4281954116
320	0.6814323654	0.4281255124
321	0.6815542932	0.428048845
322	0.681772843	0.427978181
323	0.6819713198	0.4279138646
324	0.6820888703	0.4278351324
325	0.6822647302	0.427734222
326	0.682342259	0.4276576694
327	0.6823640661	0.4276007329
328	0.682476175	0.42752896
329	0.6826324843	0.4274605521
330	0.6827054062	0.4273947061
331	0.6827583141	0.4273378078
332	0.6828146886	0.4272592285
333	0.6828567399	0.427183976
334	0.6828415883	0.4271219538
335	0.68287444	0.4270621494
336	0.6829383075	0.4269870881
337	0.6830345445	0.4269108796
338	0.6830503887	0.4268495457
339	0.6830543678	0.4267845027
340	0.6830837026	0.4267198421
341	0.6830189341	0.4266573993
342	0.6830548932	0.4266039424
343	0.6831512619	0.4265268162
344	0.6831989236	0.4264482752
345	0.683296843	0.426370996
346	0.6834947282	0.4262960494
347	0.6834988872	0.426237048
348	0.6835668429	0.4261929977
349	0.6836018049	0.4261059296
350	0.6835818215	0.4260438692
351	0.6837491919	0.4259719816
352	0.6838132367	0.425895276
353	0.683919621	0.4258385689
354	0.6841139814	0.4257849591
355	0.6840973092	0.4257354025
356	0.6842601423	0.4256766306
357	0.6842363995	0.4256294448
358	0.6843652671	0.4255797735
359	0.6843618628	0.4254994735
360	0.6845913524	0.425413782
361	0.6845728501	0.425359981
362	0.6846144019	0.4253048417
363	0.6847451696	0.4252568911
364	0.6848976596	0.4251788472
365	0.6848769786	0.4251320438
366	0.6849632985	0.4250566383
367	0.6848947731	0.4250001988
368	0.685022836	0.4249551544
369	0.6851348421	0.4249086186
370	0.6851511603	0.4248540529
371	0.6851912403	0.4248013225
372	0.6852115127	0.424747598
373	0.6853089792	0.4246913498
374	0.6852642927	0.4246391166
375	0.685305944	0.4245861186
376	0.6853088598	0.4245221845
377	0.6853229387	0.4244655921
378	0.685321036	0.4244195535
379	0.6854434961	0.4243695381
380	0.6853946409	0.4243147429
381	0.685484957	0.4242631215
382	0.6855428229	0.4242118442
383	0.6855780955	0.4241651173
384	0.6856496006	0.4240978947
385	0.685634621	0.4240337694
386	0.6856071906	0.4239643291
387	0.6856417634	0.4239036835
388	0.6856790879	0.4238533239
389	0.6857796609	0.423784763
390	0.6858568626	0.4237384567
391	0.6858818044	0.423673949
392	0.6860308315	0.4236070324
393	0.6861511728	0.4235497135
394	0.6861275333	0.4235015717
395	0.6861400052	0.4234433734
396	0.6861569196	0.4233895341
397	0.6862271967	0.423343419
398	0.6862336143	0.4232971127
399	0.6862046942	0.4232491239
400	0.6862194046	0.4232035823
401	0.6862557195	0.4231549435
402	0.6862827011	0.4230917359
403	0.686349709	0.4230497887
404	0.6862998627	0.4230084151
405	0.6862772429	0.4229611146
406	0.6863045816	0.4229256679
407	0.6864051259	0.4228784821
408	0.6864297205	0.4228262106
409	0.6865056027	0.4227851047
410	0.686635955	0.4227379189
411	0.6865962853	0.4227043459
412	0.6866502883	0.4226593014
413	0.6866970912	0.4226109685
414	0.6867468248	0.4225582381
415	0.6868406416	0.4225112053
416	0.6867684377	0.4224665814
417	0.6868182475	0.4224219958
418	0.6869448441	0.4223533202
419	0.6869598289	0.4223092317
420	0.6870290113	0.4222622371
421	0.6870925319	0.4222200987
422	0.6872075508	0.4221699304
423	0.6872067987	0.4221163206
424	0.6872336418	0.4220777001
425	0.6872934477	0.4220268052
426	0.6873293193	0.421996903
427	0.6872956183	0.4219530822
428	0.6872951495	0.4219050551
429	0.6873193433	0.4218628403
430	0.687332359	0.4218119072
431	0.6873301527	0.4217736308
432	0.687409917	0.421730613
433	0.6874356924	0.4216945162
434	0.687561153	0.4216385357
435	0.6874778365	0.4216003358
436	0.6875415806	0.4215650038
437	0.6874545582	0.4215279129
438	0.6876142002	0.4214824478
439	0.6876452192	0.421444898
440	0.6876656527	0.4214078071
441	0.6877573383	0.4213745399
442	0.6877956655	0.4213433376
443	0.687772444	0.4213097264
444	0.6878202263	0.4212438421
445	0.6877651226	0.4211789139
446	0.6878402542	0.4211145592
447	0.6878363312	0.4210533782
448	0.6879380754	0.4209908972
449	0.6879424313	0.4209354137
450	0.6880123331	0.4208799685
451	0.6880434786	0.4208449042
452	0.6881168289	0.4208158815
453	0.6881417523	0.4207673573
454	0.6881284498	0.420709809
455	0.6881461343	0.4206712268
456	0.6881878498	0.4206217849
457	0.6882076696	0.4205892443
458	0.6883135985	0.4205550212
459	0.6882795569	0.4205201099
460	0.68835014	0.4204678002
461	0.6884402593	0.420404975
462	0.6883802084	0.4203562979
463	0.6884530658	0.4203062442
464	0.6884451012	0.4202743537
465	0.6885849913	0.4202264031
466	0.6886303707	0.4201868267
467	0.6887005081	0.4201461414
468	0.688651083	0.4201143655
469	0.6888581247	0.42003831
470	0.6889018937	0.419969099
471	0.6889497788	0.4199185483
472	0.6890573806	0.4198648238
473	0.6891302583	0.4198135465
474	0.6891453442	0.4197684256
475	0.6890881046	0.4197314876
476	0.6891064581	0.4196656798
477	0.6891539747	0.4196178057
478	0.6892564848	0.4195771586
479	0.6893283271	0.4195436238
480	0.6893868982	0.4195113891
481	0.6893841176	0.4194810281
482	0.6893975255	0.4194458873
483	0.6893720464	0.419409217
484	0.6893768548	0.4193758734
485	0.6894597153	0.4193366793
486	0.6895958698	0.4192941586
487	0.6895776539	0.419258253
488	0.6896162949	0.419213285
489	0.6896410901	0.4191749704
490	0.6896203206	0.4191407474
491	0.6896492775	0.4191135601
492	0.6897750765	0.4190717276
493	0.689800398	0.4190317306
494	0.6898202946	0.4189995341
495	0.6898296375	0.418958887
496	0.6898611618	0.4189272641
497	0.6898576965	0.4188894467
498	0.689905005	0.4188561795
499	0.6898923526	0.418818668
500	0.6899067531	0.4187821123
501	0.6899951796	0.4187310263
502	0.6900472384	0.4186934
503	0.6900620366	0.4186473613
504	0.6901426168	0.418616312
505	0.6901547263	0.418585951
506	0.6901182518	0.4185524544
507	0.6901157603	0.4185111955
508	0.6901252065	0.4184767047
509	0.6901301542	0.4184416787
510	0.6901329222	0.4184056584
511	0.6901537864	0.4183777446
512	0.6903093984	0.4183380152
513	0.6903005548	0.4183035627
514	0.6903657636	0.4182765666
515	0.6904131446	0.4182471615
516	0.6904925749	0.418217374
517	0.6904628827	0.4181729414
518	0.6904362182	0.4181423892
519	0.6904706403	0.4181083955
520	0.6905261635	0.4180718016
521	0.69058197	0.4180337165
522	0.6906210467	0.4180041202
523	0.6906665999	0.4179744857
524	0.6907311327	0.4179320032
525	0.6907564899	0.4178987743
526	0.6907963084	0.4178619893
527	0.6908096739	0.4178308252
528	0.6907838229	0.417805091
529	0.6908330132	0.4177787832
530	0.6908981388	0.4177469309
531	0.6909453577	0.4177207378
532	0.6910147963	0.4176893443
533	0.6909863941	0.4176559242
534	0.6910665461	0.4176266338
535	0.6910710356	0.4175943991
536	0.6910539139	0.4175605584
537	0.6910739314	0.4175266412
538	0.6911159861	0.4174924946
539	0.6911922639	0.4174484061
540	0.6911695751	0.4174249279
541	0.6911713578	0.4173965553
542	0.6911816255	0.4173622175
543	0.6912057523	0.4173336919
544	0.6912379276	0.4173063899
545	0.6912585629	0.4172836382
546	0.691310455	0.4172593188
547	0.6912695966	0.4172254016
548	0.6912395771	0.4171958053
549	0.691295746	0.4171699564
550	0.691280513	0.4171378364
551	0.6912901476	0.4170958127
552	0.6914002769	0.4170736729
553	0.6913677053	0.4170443443
554	0.6913308415	0.4170193748
555	0.6914512163	0.4169955142
556	0.6914595987	0.4169648855
557	0.6915211435	0.4169435869
558	0.6915519518	0.4169082549
559	0.6916379209	0.416882406
560	0.6916265433	0.4168496742
561	0.6916828079	0.4168288726
562	0.6916579546	0.4168046297
563	0.6916690805	0.4167743451
564	0.6916598482	0.4167412692
565	0.6916715164	0.4167188999
566	0.6917041092	0.4166993985
567	0.691772399	0.4166630723
568	0.6917667822	0.4166354261
569	0.6917797187	0.4166040327
570	0.6918572151	0.4165797133
571	0.6918445871	0.4165618561
572	0.6918039222	0.4165350512
573	0.6919493787	0.4165074815
574	0.6920062563	0.416465649
575	0.6920308524	0.4164327261
576	0.692050338	0.4164018679
577	0.692114082	0.4163796898
578	0.6921316141	0.4163530761
579	0.6921936707	0.4163283361
580	0.6921528876	0.4162962926
581	0.6922149796	0.4162685317
582	0.6922007674	0.4162444035
583	0.6921809856	0.4162157631
584	0.6921988063	0.4161840638
585	0.6922425137	0.4161583678
586	0.6923146078	0.4161258272
587	0.6923395851	0.4160990605
588	0.6923834572	0.4160700378
589	0.6923939842	0.4160423152
590	0.6923927475	0.4159985326
591	0.6924642738	0.4159792988
592	0.6925260674	0.4159486319
593	0.6925199269	0.4159201445
594	0.6924962734	0.415888904
595	0.6925380896	0.4158657699
596	0.6925620329	0.4158313557
597	0.6925344666	0.4158032124
598	0.6926019854	0.4157777841
599	0.692601696	0.4157513233
600	0.6926123436	0.41572188
601	0.6926268588	0.4156984018
602	0.692644607	0.4156647141
603	0.6926829994	0.4156252141
604	0.6926973686	0.4155979504
605	0.6927683194	0.4155795196
606	0.69282754	0.4155507263
607	0.6928301714	0.4155289689
608	0.6928230928	0.4155102704
609	0.6928947622	0.4154861804
610	0.6929234787	0.4154590696
611	0.6929401415	0.4154357444
612	0.6929079342	0.4154093984
613	0.6928782029	0.4153901646
614	0.6928635425	0.4153428259
615	0.692917674	0.4153150268
616	0.6929227888	0.415283901
617	0.6929374057	0.4152631759
618	0.6929657537	0.4152224141
619	0.6929397537	0.415199433
620	0.6929499006	0.4151699515
621	0.6929949454	0.4151322105
622	0.6929737502	0.4151068969
623	0.6930529763	0.4150903015
624	0.693053253	0.4150633819
625	0.6931233946	0.4150205553
626	0.6931506432	0.4149795258
627	0.6932444125	0.4149545181
628	0.6932525955	0.4149316517
629	0.6932842217	0.4149148652
630	0.6932749695	0.4148925342
631	0.6933329294	0.4148618672
632	0.6933420407	0.414831162
633	0.6933626801	0.4147999597
634	0.6934189716	0.4147779728
635	0.6934545499	0.4147634041
636	0.693471911	0.4147471912
637	0.6934700091	0.4147143829
638	0.6934631361	0.4146930461
639	0.6934267487	0.4146729328
640	0.6935141811	0.4146469692
641	0.6934675588	0.4146301062
642	0.6934871312	0.4145975655
643	0.6935139226	0.4145678928
644	0.6935571335	0.4145347021
645	0.6935896149	0.4145066736
646	0.6935151428	0.414487631
647	0.6935243735	0.4144561611
648	0.6935457844	0.4144361243
649	0.6935274672	0.4144196055
650	0.6935733882	0.4143995305
651	0.6936316566	0.414376167
652	0.6936787548	0.4143521917
653	0.6937005459	0.4143090209
654	0.6936764851	0.414272733
655	0.6938104158	0.4142395806
656	0.6937876899	0.4142039427
657	0.6938514078	0.4141721286
658	0.6938020179	0.4141345406
659	0.693915646	0.4140922492
660	0.6939273633	0.4140683887
661	0.6939164463	0.4140415838
662	0.693944969	0.4139975717
663	0.6939206283	0.4139596013
664	0.6939505254	0.4139297756
665	0.6939791316	0.4138985733
666	0.6939989326	0.4138814044
667	0.6939989703	0.4138502021
668	0.6940132716	0.4138240091
669	0.6940686271	0.4137984278
670	0.6940832694	0.4137757143
671	0.6941592998	0.4137557158
672	0.6941579138	0.4137344172
673	0.6941977314	0.4137043238
674	0.6941739425	0.4136783984
675	0.6941971445	0.4136487639
676	0.6941942275	0.4136232209
677	0.6941981546	0.4136034518
678	0.6942592039	0.4135842562
679	0.6943131837	0.4135605486
680	0.6943168961	0.4135378734
681	0.6944139477	0.4135186397
682	0.6943768826	0.4134983735
683	0.6945008038	0.4134739394
684	0.6944953108	0.4134396398
685	0.6946043428	0.4134248034
686	0.6946491022	0.4134082463
687	0.6946569808	0.4133873683
688	0.6946994292	0.4133640431
689	0.6947551532	0.4133476007
690	0.69478274	0.4133303554
691	0.6947961092	0.4133047358
692	0.6948384047	0.4132864963
693	0.6948086429	0.4132560587
694	0.6948026993	0.413231051
695	0.6948088126	0.4132074199
696	0.6947948858	0.4131891421
697	0.6947708922	0.413166964
698	0.6948346493	0.4131423769
699	0.6948681181	0.4131237167
700	0.6949429161	0.4131001238
701	0.6949905096	0.4130782899
702	0.6950101407	0.4130591326
703	0.6950104095	0.4130356544
704	0.6950440859	0.4130098055
705	0.6950703971	0.4129890039
706	0.6950473022	0.412966367
707	0.6950386888	0.412940824
708	0.695077996	0.412920596
709	0.695061145	0.4128991444
710	0.6950707796	0.4128834668
711	0.6951565963	0.412863583
712	0.6952126141	0.412841252
713	0.6951650474	0.4128178885
714	0.6951923824	0.4127992283
715	0.6952177685	0.412779421
716	0.6952840235	0.4127564017
717	0.6952499364	0.4127404564
718	0.6953221973	0.4127250847
719	0.6953460219	0.4127022565
720	0.69535463	0.4126749545
721	0.6953607201	0.4126607682
722	0.6953786147	0.412637443
723	0.6953721854	0.4126206565
724	0.6954334475	0.4126084203
725	0.6954477328	0.4125803153
726	0.6954464595	0.4125444862
727	0.6954373412	0.4125219257
728	0.6955123287	0.412498677
729	0.6955374387	0.4124768048
730	0.6955911036	0.4124524089
731	0.6955851787	0.4124313015
732	0.6957692136	0.4124036171
733	0.6957236759	0.4123875571
734	0.6957325039	0.4123625111
735	0.6957826587	0.4123313089
736	0.6957895306	0.4123125722
737	0.6957726273	0.4122958621
738	0.6957685745	0.4122793815
739	0.6957578571	0.4122510089
740	0.6958209348	0.4122293661
741	0.6957963252	0.4122081057
742	0.6958020921	0.4121906309
743	0.695826452	0.412172659
744	0.6958418478	0.4121541136
745	0.6958597007	0.4121364093
746	0.6959177436	0.4121133518
747	0.6958266708	0.412087694
748	0.6958575295	0.4120563005
749	0.6959114164	0.4120344666
750	0.695882828	0.412017833
751	0.6958916505	0.4119991346
752	0.695860641	0.4119842217
753	0.6958430139	0.4119550461
754	0.6958697542	0.4119294266
755	0.6959162081	0.4119100399
756	0.6959920369	0.4118852233
757	0.6959965466	0.4118709988
758	0.6959895866	0.4118524915
759	0.6960057992	0.4118355521
760	0.6960680484	0.4118160506
761	0.6960369984	0.4117876015
762	0.6960333918	0.4117660735
763	0.6960408844	0.4117451955
764	0.6961046463	0.4117313533
765	0.6961443992	0.4117053131
766	0.6961827856	0.4116868824
767	0.6961416372	0.4116705165
768	0.6961169432	0.411652927
769	0.6961236063	0.4116337314
770	0.6961683916	0.4116114769
771	0.6961381459	0.4115931991
772	0.6961250072	0.4115759537
773	0.6961504625	0.4115603908
774	0.6961007261	0.4115442161
775	0.6961253765	0.4115270854
776	0.6961037341	0.4115052132
777	0.6961464128	0.4114838764
778	0.6961966624	0.4114633043
779	0.6961973636	0.4114473208
780	0.6962146038	0.4114302666
781	0.6961959366	0.4114111475
782	0.6962090236	0.4113943993
783	0.6962306665	0.411367212
784	0.6962422427	0.4113447662
785	0.6962356095	0.4113303122
786	0.6962758478	0.4113143669
787	0.696313031	0.4112936037
788	0.696335214	0.4112734904
789	0.6963322648	0.4112593806
790	0.6963872596	0.4112457678
791	0.6964177005	0.411230052
792	0.6964146064	0.4112176246
793	0.6964403059	0.4111900932
794	0.6964620088	0.4111694828
795	0.6964667184	0.4111539199
796	0.6964264314	0.4111397336
797	0.6964604622	0.4111235589
798	0.6964971359	0.4111068871
799	0.6964552087	0.4110839825
800	0.6964549398	0.4110702168
801	0.6964791804	0.4110559922
802	0.6964553888	0.4110408117
803	0.6964278175	0.411022228
804	0.696440425	0.4110106418
805	0.6964292372	0.4109847929
806	0.6964150017	0.4109675093
807	0.6964438407	0.4109594793
808	0.6965264499	0.41094514
809	0.6965468822	0.4109139759
810	0.6964623174	0.4108968835
811	0.6964810057	0.4108788351
812	0.6965020647	0.4108664842
813	0.6965403871	0.4108439238
814	0.6965351823	0.4108268696
815	0.6965288152	0.410807827
816	0.6965241262	0.4107893962
817	0.6965652272	0.4107777336
818	0.696525683	0.4107680212
819	0.6965961529	0.4107533377
820	0.6965903736	0.4107386925
821	0.6966079773	0.4107144878
822	0.6965691315	0.4106967836
823	0.6966169905	0.4106868035
824	0.6966039901	0.410664243
825	0.6966298218	0.4106538422
826	0.6966964254	0.4106396177
827	0.6966745934	0.4106306317
828	0.6967299548	0.4106133481
829	0.6967223484	0.410595338
830	0.6968014114	0.4105706361
831	0.6968035896	0.4105585911
832	0.696796568	0.4105489934
833	0.6967836237	0.410536566
834	0.6967700264	0.4105268535
835	0.6968581209	0.4105088816
836	0.696859373	0.4104903744
837	0.6969027027	0.4104757675
838	0.6968844328	0.4104608928
839	0.6969008293	0.4104513333
840	0.6969175886	0.4104366881
841	0.6969377098	0.4104202458
842	0.6969269986	0.4103987177
843	0.6969204535	0.41038239
844	0.6969438458	0.4103589501
845	0.696926236	0.4103397546
846	0.6969351058	0.4103283596
847	0.6969644514	0.4103062963
848	0.6969752807	0.4102982663
849	0.6969401614	0.4102826651
850	0.6969204587	0.4102605635
851	0.6969266002	0.4102445035
852	0.6969824591	0.4102323438
853	0.6970053978	0.4102167427
854	0.6970347971	0.4102066478
855	0.6970432129	0.4101914673
856	0.697124803	0.4101756749
857	0.6971006986	0.4101613739
858	0.6970767671	0.410144205
859	0.6971544191	0.4101214916
860	0.6971808168	0.4100959868
861	0.6971565181	0.410080921
862	0.6971807075	0.4100612284
863	0.6971943853	0.4100443654
864	0.6972271986	0.4100176369
865	0.6972468397	0.4099980208
866	0.6972731003	0.4099827638
867	0.697313869	0.4099689216
868	0.6973354946	0.4099531293
869	0.6973357074	0.4099415049
870	0.6973610155	0.4099294981
871	0.6973112227	0.4099105321
872	0.6973578719	0.4098949309
873	0.697413691	0.4098807828
874	0.6974151753	0.4098682407
875	0.697427892	0.4098519513
876	0.6974674908	0.40984243
877	0.6974773154	0.4098302321
878	0.6974931384	0.4098143633
879	0.6975083332	0.409797615
880	0.6975473041	0.4097786489
