year;hour_minute;lighting_condition;location;intersection;weather_condition;type_of_collision;latitude;longitude;road_category;traffic_regime;number_of_traffic_lanes;reserved_lane_present;longitudinal_profile;horizontal_alignment;carriageway_width;pavement_condition;infrastructure;accident_situation;speed_limit;number_vehicle_x;position;user_category;injury_severity;sex;pedestrian_location;pedestrian_action;role;number_vehicle_y;direction_of_travel;vehicle_category;fixed_obstacle_struck;mobile_obstacle_struck;initial_point_of_impact;main_maneuver_before_accident;motor_type;vehicle_cat_-1;vehicle_cat_0;vehicle_cat_1;vehicle_cat_2;vehicle_cat_3;vehicle_cat_7;vehicle_cat_10;vehicle_cat_13;vehicle_cat_14;vehicle_cat_15;vehicle_cat_16;vehicle_cat_17;vehicle_cat_20;vehicle_cat_21;vehicle_cat_30;vehicle_cat_31;vehicle_cat_32;vehicle_cat_33;vehicle_cat_34;vehicle_cat_35;vehicle_cat_36;vehicle_cat_37;vehicle_cat_38;vehicle_cat_39;vehicle_cat_40;vehicle_cat_41;vehicle_cat_42;vehicle_cat_43;vehicle_cat_50;vehicle_cat_60;vehicle_cat_80;vehicle_cat_99;vehicle_category_simplified;impact_score;age;age_group;used_belt;used_helmet;day_of_week_sin;day_of_week_cos;month_sin;month_cos;day_of_year_sin;day_of_year_cos;road_complexity_index;surface_quality_indicator
2023;17:50;1;1;1;1;3;47,56163900;7,54576700;3;2;2;0;1;1;4;1;0;1;50;B01;1;1;4;1;0;0;driver;B01;2;1;0;2;8;2;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;bicycle;2;48.0;middle_aged;0;0;0.7818314824680298;0.6234898018587336;1.0;6.123233995736766e-17;0.9507903724625832;0.3098349038318025;3.75;1
2023;08:35;1;1;1;1;5;43,73363100;7,29558700;9;1;1;0;1;1; -1;1;0;1;70;B01;1;1;1;1;0;0;driver;B01;3;10;0;2;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;light_motor_vehicle;4;49.0;middle_aged;1;0;0.9749279121818236;-0.2225209339563143;1.0;6.123233995736766e-17;0.9559793438440766;0.2934339689665273;0.8333333333333333;1
2023;11:10;1;1;1;1;2;44,86511000; -0,50370000;2;3;6;0;2;1; -1;1;0;1;90;B01;3;2;1;2;-1; -1;passenger;B01;1;7;0;2;4;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;3.0;child_teen;0;0;-0.9749279121818236;-0.2225209339563146;-0.4999999999999998;-0.8660254037844388;-0.2280577712215198;-0.9736476020539838;4.166666666666667;0
2023;19:30;5;2;2;1;7;48,86248500;2,36333400;4;2;2;1;1;1; -1;1;0;1;30;A01;1;1;4;1;-1; -1;driver;A01;1;1;0;0;2;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;bicycle;2;31.0;adult;0;0;0.9749279121818236;-0.2225209339563143;-0.5000000000000004;0.8660254037844384;-0.7142921172691032;0.699847677146407;5.833333333333333;1
2023;18:50;1;2;1;1;3;48,86542200;2,30141000;4;2;2;0;2;1; -1;1;0;1;30;B01;2;2;4;2;-1; -1;passenger;B01;2;31;0;2;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;powered_2_3_wheeler;3;24.0;young_adult;0;1;0.0;1.0;1.2246467991473532e-16;-1.0;0.2154773150467301;-0.976508846196619;4.166666666666667;0
2023;08:50;1;2;1;7;6;43,12577300;5,97054700;4;4;1;0;2;1; -1;1;2;1;50;A01;10;3;4;1;6;9;pedestrian;A01;1;7;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;44.0;middle_aged;0;0;-0.433883739117558;-0.9009688679024191;-1.0;-1.8369701987210294e-16;-0.9626519747161488;-0.2707418984477642;4.583333333333333;0
2023;17:30;1;2;2;2;3;49,09319900;4,91609700;4;2;2;0;1;1; -1;2;0;1;50;A01;1;1;1;2;0;0;driver;A01;3;7;0;2;8;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;light_motor_vehicle;4;50.0;middle_aged;0;0;0.4338837391175582;-0.900968867902419;0.8660254037844387;-0.4999999999999998;0.9487718864399473;-0.3159618766579029;5.833333333333333;0
2023;15:40;1;2;6;2;6;50,47369049;2,58979082;3;3;2;0;1;1; -1;2;0;1;50;A01;1;1;1;1;-1; -1;driver;A01;1;7;0;1;1;16;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;79.0;senior;0;0;0.9749279121818236;-0.2225209339563143;0.8660254037844387;-0.4999999999999998;0.98314697372215;-0.1828169249850199;5.833333333333333;0
2023;16:35;1;2;1;1;2;42,48571500;9,47982800;2;2;2;0;1;1;7;1;0;1;50;B01;4;2;1;1;0;0;passenger;B01;2;7;0;2;4;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;83.0;senior;1;0;0.7818314824680298;0.6234898018587336;0.4999999999999999;-0.8660254037844387;0.8638670987837349;-0.503719798736334;3.3333333333333335;1
2023;18:30;3;1;9;2;3;50,48502000;2,98370000;3;2;2;1;1;1; -1;2;3;1;80;B01;2;2;2;1;-1; -1;passenger;B01;2;33;0;2;8;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;powered_2_3_wheeler;3;22.0;young_adult;0;1;0.7818314824680298;0.6234898018587336;-0.5000000000000004;0.8660254037844384;-0.8035476485339116;0.5952404359043674;4.583333333333333;0
