iter	Passed	Remaining
402	11183	44316
403	11210	44285
404	11237	44254
405	11263	44222
406	11289	44187
407	11316	44155
408	11341	44116
409	11367	44082
410	11393	44047
411	11419	44014
412	11446	43985
413	11474	43958
414	11500	43923
415	11527	43894
416	11558	43877
417	11588	43860
418	11618	43838
419	11645	43811
420	11674	43786
421	11704	43768
422	11732	43738
423	11759	43711
424	11815	43786
425	11841	43750
426	11868	43723
427	11895	43689
428	11920	43654
429	11949	43628
430	11976	43599
431	12007	43581
432	12031	43541
433	12058	43511
434	12085	43480
435	12113	43452
436	12137	43412
437	12163	43378
438	12189	43345
439	12216	43311
440	12241	43275
441	12267	43240
442	12294	43209
443	12320	43177
444	12347	43146
445	12372	43108
446	12399	43078
447	12426	43048
448	12453	43018
449	12480	42988
450	12506	42955
451	12534	42926
452	12559	42889
453	12585	42855
454	12610	42820
455	12637	42789
456	12663	42756
457	12689	42722
458	12718	42698
459	12743	42664
460	12769	42630
461	12797	42602
462	12825	42575
463	12852	42546
464	12877	42510
465	12903	42474
466	12928	42438
467	12955	42410
468	12984	42385
469	13012	42358
470	13041	42335
471	13069	42311
472	13097	42284
473	13125	42254
474	13150	42221
475	13177	42190
476	13204	42159
477	13229	42124
478	13254	42089
479	13284	42069
480	13311	42038
481	13338	42009
482	13364	41973
483	13390	41943
484	13415	41906
485	13440	41871
486	13466	41836
487	13493	41806
488	13519	41776
489	13548	41751
490	13574	41717
491	13600	41685
492	13628	41658
493	13655	41631
494	13681	41596
495	13707	41563
496	13734	41535
497	13760	41502
498	13786	41470
499	13812	41437
500	13840	41411
501	13866	41379
502	13895	41355
503	13924	41331
504	13951	41301
505	13980	41277
506	14005	41241
507	14029	41206
508	14057	41177
509	14083	41144
510	14110	41115
511	14136	41083
512	14163	41053
513	14189	41023
514	14217	40996
515	14245	40970
516	14270	40934
517	14300	40914
518	14325	40878
519	14354	40854
520	14382	40828
521	14412	40806
522	14439	40779
523	14468	40753
524	14499	40737
525	14525	40705
526	14552	40676
527	14584	40659
528	14612	40632
529	14638	40600
530	14664	40569
531	14691	40539
532	14716	40504
533	14743	40475
534	14772	40450
535	14798	40419
536	14824	40389
537	14851	40357
538	14877	40327
539	14903	40295
540	14931	40268
541	14957	40236
542	14984	40207
543	15013	40182
544	15043	40161
545	15068	40127
546	15094	40095
547	15120	40063
548	15147	40033
549	15172	40000
550	15197	39967
551	15225	39939
552	15253	39912
553	15277	39877
554	15319	39885
555	15344	39852
556	15372	39824
557	15399	39796
558	15427	39769
559	15454	39740
560	15482	39714
561	15510	39686
562	15551	39692
563	15586	39683
564	15613	39654
565	15638	39622
566	15664	39589
567	15690	39557
568	15715	39524
569	15741	39491
570	15768	39462
571	15795	39434
572	15823	39406
573	15848	39373
574	15876	39345
575	15905	39321
576	15935	39300
577	15962	39270
578	15989	39240
579	16015	39209
580	16041	39179
581	16067	39146
582	16093	39116
583	16119	39083
584	16146	39054
585	16174	39028
586	16201	38999
587	16227	38968
588	16255	38941
589	16280	38907
590	16305	38873
591	16333	38846
592	16358	38812
593	16386	38786
594	16412	38756
595	16438	38725
596	16465	38694
597	16494	38670
598	16522	38644
599	16550	38618
600	16579	38592
601	16604	38560
602	16629	38527
603	16655	38495
604	16682	38465
605	16709	38436
606	16736	38409
607	16766	38387
608	16794	38359
609	16822	38334
610	16850	38305
611	16876	38275
612	16904	38248
613	16929	38216
614	16956	38187
615	16981	38153
616	17023	38158
617	17049	38127
618	17077	38101
619	17106	38075
620	17132	38044
621	17157	38012
622	17183	37979
623	17209	37948
624	17235	37917
625	17262	37888
626	17286	37854
627	17314	37827
628	17342	37801
629	17370	37774
630	17398	37748
631	17428	37724
632	17454	37694
633	17481	37664
634	17507	37633
635	17534	37605
636	17562	37578
637	17588	37548
638	17616	37520
639	17644	37494
640	17674	37472
641	17700	37442
642	17727	37412
643	17757	37390
644	17784	37362
645	17811	37332
646	17840	37307
647	17868	37281
648	17896	37253
649	17924	37227
650	17949	37195
651	17974	37161
652	17999	37128
653	18029	37107
654	18057	37079
655	18085	37052
656	18109	37018
657	18136	36989
658	18165	36964
659	18190	36933
660	18217	36903
661	18243	36873
662	18271	36845
663	18298	36818
664	18323	36785
665	18351	36758
666	18378	36729
667	18403	36696
668	18430	36668
669	18457	36639
670	18485	36612
671	18510	36579
672	18534	36545
673	18559	36512
674	18584	36480
675	18610	36449
676	18637	36421
677	18668	36399
678	18694	36370
679	18736	36370
680	18761	36339
681	18788	36309
682	18813	36277
683	18841	36250
684	18867	36219
685	18895	36192
686	18921	36163
687	18947	36132
688	18972	36099
689	18998	36069
690	19025	36040
691	19050	36009
692	19078	35981
693	19102	35948
694	19127	35915
695	19152	35884
696	19177	35850
697	19202	35819
698	19230	35791
699	19257	35763
700	19285	35736
701	19311	35706
702	19336	35675
703	19362	35644
704	19388	35615
705	19414	35583
706	19440	35554
707	19470	35530
708	19495	35499
709	19522	35470
710	19548	35440
711	19576	35414
712	19602	35383
713	19629	35354
714	19657	35327
715	19683	35298
716	19711	35271
717	19738	35242
718	19766	35217
719	19795	35191
720	19820	35160
721	19848	35133
722	19876	35106
723	19904	35080
724	19929	35048
725	19955	35017
726	19981	34987
727	20007	34957
728	20032	34927
729	20058	34896
730	20086	34868
731	20113	34841
732	20139	34810
733	20164	34778
734	20190	34750
735	20235	34752
736	20262	34723
737	20288	34693
738	20315	34664
739	20343	34639
740	20369	34608
741	20396	34580
742	20424	34553
743	20450	34524
744	20477	34495
745	20502	34464
746	20529	34435
747	20555	34404
748	20580	34374
749	20606	34343
750	20633	34316
751	20658	34284
752	20683	34252
753	20708	34221
754	20735	34193
755	20766	34171
756	20792	34141
757	20818	34111
758	20846	34084
759	20871	34053
760	20898	34025
761	20925	33996
762	20950	33965
763	20975	33934
764	21000	33902
765	21026	33873
766	21052	33843
767	21080	33816
768	21105	33785
769	21133	33758
770	21160	33729
771	21185	33699
772	21211	33669
773	21237	33639
774	21262	33608
775	21290	33581
776	21317	33554
777	21344	33525
778	21370	33496
779	21397	33467
780	21421	33435
781	21448	33406
782	21475	33378
783	21501	33349
784	21527	33319
785	21554	33290
786	21581	33263
787	21605	33230
788	21632	33202
789	21657	33172
790	21694	33158
791	21720	33128
792	21747	33100
793	21772	33069
794	21796	33038
795	21823	33008
796	21848	32978
797	21873	32947
798	21899	32917
799	21924	32886
800	21950	32857
801	21977	32828
802	22003	32799
803	22031	32773
804	22058	32745
805	22085	32717
806	22112	32688
807	22136	32656
808	22164	32630
809	22192	32603
810	22218	32574
811	22244	32545
812	22271	32517
813	22301	32493
814	22332	32470
815	22358	32441
816	22384	32412
817	22411	32384
818	22441	32360
819	22469	32333
820	22496	32305
821	22522	32277
822	22554	32256
823	22581	32228
824	22608	32200
825	22637	32174
826	22666	32149
827	22694	32122
828	22719	32092
829	22745	32062
830	22772	32035
831	22799	32007
832	22823	31975
833	22849	31945
834	22876	31917
835	22904	31890
836	22929	31860
837	22959	31835
838	22997	31823
839	23025	31797
840	23053	31770
841	23080	31742
842	23108	31716
843	23137	31690
844	23162	31659
845	23203	31650
846	23228	31619
847	23253	31590
848	23278	31558
849	23303	31527
850	23328	31498
851	23352	31465
852	23379	31437
853	23404	31407
854	23429	31376
855	23457	31349
856	23483	31320
857	23510	31291
858	23536	31263
859	23564	31236
860	23590	31206
861	23617	31179
862	23644	31151
863	23670	31121
864	23695	31092
865	23721	31063
866	23748	31035
867	23775	31006
868	23801	30976
869	23826	30946
870	23853	30918
871	23880	30891
872	23908	30864
873	23932	30833
874	23957	30802
875	23982	30771
876	24009	30744
877	24036	30716
878	24062	30687
879	24088	30657
880	24114	30628
881	24139	30598
882	24167	30572
883	24197	30547
884	24222	30517
885	24248	30488
886	24275	30460
887	24300	30430
888	24328	30403
889	24356	30377
890	24382	30348
891	24409	30319
892	24434	30290
893	24460	30260
894	24487	30233
895	24515	30206
896	24542	30178
897	24570	30151
898	24594	30121
899	24620	30092
900	24646	30062
901	24690	30055
902	24715	30025
903	24741	29996
904	24766	29966
905	24792	29936
906	24817	29906
907	24844	29879
908	24870	29849
909	24896	29820
910	24921	29791
911	24946	29761
912	24973	29732
913	25002	29707
914	25028	29678
915	25054	29650
916	25084	29625
917	25113	29600
918	25140	29571
919	25165	29542
920	25193	29515
921	25219	29486
922	25244	29456
923	25269	29425
924	25294	29396
925	25323	29370
926	25349	29342
927	25375	29313
928	25400	29283
929	25424	29251
930	25452	29224
931	25478	29196
932	25505	29169
933	25532	29140
934	25558	29111
935	25581	29080
936	25609	29053
937	25636	29026
938	25664	28998
939	25689	28969
940	25715	28939
941	25742	28912
942	25773	28888
943	25804	28865
944	25830	28837
945	25856	28808
946	25882	28779
947	25910	28753
948	25938	28726
949	25963	28696
950	25990	28668
951	26015	28639
952	26043	28612
953	26071	28585
954	26097	28556
955	26122	28527
956	26148	28498
957	26174	28469
958	26214	28455
959	26239	28426
960	26267	28399
961	26294	28371
962	26320	28342
963	26346	28314
964	26372	28285
965	26398	28257
966	26425	28228
967	26451	28200
968	26479	28174
969	26505	28145
970	26531	28115
971	26556	28086
972	26581	28056
973	26607	28028
974	26635	28001
975	26660	27971
976	26685	27941
977	26712	27913
978	26737	27884
979	26764	27856
980	26789	27827
981	26816	27799
982	26841	27770
983	26868	27741
984	26893	27712
985	26919	27683
986	26945	27654
987	26970	27625
988	26997	27597
989	27021	27566
990	27045	27537
991	27071	27507
992	27096	27478
993	27122	27450
994	27149	27422
995	27178	27396
996	27207	27370
997	27238	27347
998	27264	27319
999	27291	27291
1000	27320	27265
1001	27346	27237
1002	27372	27209
1003	27401	27182
1004	27428	27155
1005	27455	27127
1006	27483	27101
1007	27510	27073
1008	27535	27044
1009	27561	27015
1010	27585	26985
1011	27611	26956
1012	27635	26926
1013	27661	26897
1014	27699	26881
1015	27726	26853
1016	27754	26826
1017	27778	26796
1018	27805	26768
1019	27831	26739
1020	27857	26711
1021	27883	26682
1022	27910	26655
1023	27937	26627
1024	27964	26600
1025	27989	26571
1026	28016	26543
1027	28042	26514
1028	28068	26486
1029	28095	26459
1030	28122	26431
1031	28151	26405
1032	28176	26375
1033	28202	26347
1034	28227	26318
1035	28253	26289
1036	28278	26260
1037	28303	26230
1038	28327	26200
1039	28353	26172
1040	28380	26144
1041	28407	26117
1042	28432	26087
1043	28457	26059
1044	28484	26031
1045	28510	26002
1046	28537	25975
1047	28565	25948
1048	28591	25920
1049	28618	25893
1050	28645	25865
1051	28671	25836
1052	28697	25808
1053	28723	25780
1054	28750	25752
1055	28776	25724
1056	28802	25696
1057	28826	25666
1058	28852	25637
1059	28878	25609
1060	28903	25580
1061	28929	25551
1062	28956	25523
1063	28982	25495
1064	29009	25468
1065	29034	25439
1066	29061	25411
1067	29088	25384
1068	29114	25355
1069	29141	25328
1070	29183	25314
1071	29207	25284
1072	29233	25256
1073	29259	25227
1074	29284	25198
1075	29308	25168
1076	29335	25140
1077	29360	25111
1078	29387	25084
1079	29413	25056
1080	29439	25027
1081	29466	24999
1082	29492	24972
1083	29519	24944
1084	29546	24917
1085	29571	24888
1086	29598	24860
1087	29624	24831
1088	29650	24804
1089	29677	24776
1090	29705	24749
1091	29732	24722
1092	29759	24695
1093	29786	24667
1094	29812	24639
1095	29836	24609
1096	29863	24582
1097	29888	24553
1098	29913	24523
1099	29938	24495
1100	29964	24466
1101	29989	24437
1102	30015	24409
1103	30043	24382
1104	30070	24355
1105	30095	24326
1106	30120	24297
1107	30148	24271
1108	30173	24242
1109	30202	24216
1110	30227	24187
1111	30253	24158
1112	30279	24131
1113	30304	24102
1114	30332	24075
1115	30360	24049
1116	30386	24021
1117	30412	23992
1118	30439	23965
1119	30465	23937
1120	30490	23907
1121	30514	23878
1122	30541	23850
1123	30567	23822
1124	30593	23794
1125	30618	23765
1126	30642	23736
1127	30670	23709
1128	30698	23683
1129	30723	23654
1130	30749	23626
1131	30776	23598
1132	30801	23570
1133	30833	23546
1134	30859	23518
1135	30884	23489
1136	30910	23461
1137	30937	23434
1138	30962	23405
1139	30989	23377
1140	31015	23350
1141	31044	23323
1142	31074	23298
1143	31101	23272
1144	31128	23244
1145	31153	23215
1146	31180	23188
1147	31206	23160
1148	31231	23131
1149	31257	23103
1150	31284	23076
1151	31311	23048
1152	31337	23020
1153	31363	22992
1154	31390	22965
1155	31415	22936
1156	31440	22907
1157	31464	22878
1158	31490	22850
1159	31516	22822
1160	31542	22794
1161	31568	22766
1162	31596	22739
1163	31623	22712
1164	31650	22685
1165	31676	22656
1166	31702	22628
1167	31727	22600
1168	31754	22573
1169	31782	22546
1170	31880	22569
1171	31906	22541
1172	31935	22515
1173	31963	22488
1174	31988	22459
1175	32016	22433
1176	32043	22406
1177	32068	22377
1178	32094	22348
1179	32121	22321
1180	32146	22292
1181	32173	22265
1182	32211	22245
1183	32236	22216
1184	32261	22188
1185	32287	22160
1186	32311	22131
1187	32337	22102
1188	32365	22075
1189	32390	22047
1190	32417	22020
1191	32447	21994
1192	32475	21967
1193	32503	21940
1194	32528	21912
1195	32555	21885
1196	32583	21858
1197	32608	21829
1198	32634	21801
1199	32662	21775
1200	32687	21746
1201	32715	21719
1202	32742	21691
1203	32768	21664
1204	32793	21635
1205	32818	21606
1206	32843	21578
1207	32870	21551
1208	32896	21523
1209	32922	21494
1210	32946	21465
1211	32975	21439
